noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,22,0.877,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,23,0.875,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,24,0.894,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,25,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,26,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,27,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,28,0.882,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,29,0.902,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,0,0.876,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,1,0.87,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,2,0.906,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,3,0.873,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,4,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,5,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,6,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,7,0.871,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,8,0.889,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,9,0.869,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,10,0.895,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,11,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,12,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,13,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,14,0.873,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,15,0.894,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,16,0.876,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,17,0.877,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,18,0.881,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,19,0.917,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,20,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,21,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,22,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,23,0.897,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,24,0.876,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,25,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,26,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,27,0.871,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,28,0.899,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,6,29,0.894,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,0,0.882,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,1,0.88,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,2,0.881,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,3,0.902,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,4,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,5,0.868,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,6,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,7,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,8,0.88,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,9,0.875,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,10,0.864,0.001339,final_round,2000,30,3,
