noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,8,0.897,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,9,0.897,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,10,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,11,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,12,0.899,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,13,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,14,0.913,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,15,0.881,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,16,0.909,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,17,0.907,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,18,0.881,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,19,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,20,0.897,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,21,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,22,0.886,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,23,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,24,0.93,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,25,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,26,0.915,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,27,0.895,0.001339,final_round,2000,30,3,
