CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_128,Z28 Z38 Z39 Z49,X49 X70 X91 X112 X133 X154 X175 X196 X217
surface,Stabilizer,S_129,Z29 Z39 Z40 Z50,X50 X71 X92 X113 X134 X155 X176 X197 X218
surface,Stabilizer,S_130,Z30 Z40 Z41 Z51,X51 X72 X93 X114 X135 X156 X177 X198 X219
surface,Stabilizer,S_131,Z31 Z41 Z52,X10 X31
surface,Stabilizer,S_132,Z42 Z53 Z63,X63 X84 X105 X126 X147 X168 X189 X210
surface,Stabilizer,S_133,Z43 Z53 Z54 Z64,X64 X85 X106 X127 X148 X169 X190 X211
surface,Stabilizer,S_134,Z44 Z54 Z55 Z65,X65 X86 X107 X128 X149 X170 X191 X212
surface,Stabilizer,S_135,Z45 Z55 Z56 Z66,X66 X87 X108 X129 X150 X171 X192 X213
surface,Stabilizer,S_136,Z46 Z56 Z57 Z67,X67 X88 X109 X130 X151 X172 X193 X214
surface,Stabilizer,S_137,Z47 Z57 Z58 Z68,X68 X89 X110 X131 X152 X173 X194 X215
surface,Stabilizer,S_138,Z48 Z58 Z59 Z69,X69 X90 X111 X132 X153 X174 X195 X216
surface,Stabilizer,S_139,Z49 Z59 Z60 Z70,X70 X91 X112 X133 X154 X175 X196 X217
surface,Stabilizer,S_140,Z50 Z60 Z61 Z71,X71 X92 X113 X134 X155 X176 X197 X218
surface,Stabilizer,S_141,Z51 Z61 Z62 Z72,X72 X93 X114 X135 X156 X177 X198 X219
surface,Stabilizer,S_142,Z52 Z62 Z73,X10 X31 X52
surface,Stabilizer,S_143,Z63 Z74 Z84,X84 X105 X126 X147 X168 X189 X210
surface,Stabilizer,S_144,Z64 Z74 Z75 Z85,X85 X106 X127 X148 X169 X190 X211
surface,Stabilizer,S_145,Z65 Z75 Z76 Z86,X86 X107 X128 X149 X170 X191 X212
surface,Stabilizer,S_146,Z66 Z76 Z77 Z87,X87 X108 X129 X150 X171 X192 X213
surface,Stabilizer,S_147,Z67 Z77 Z78 Z88,X88 X109 X130 X151 X172 X193 X214
surface,Stabilizer,S_148,Z68 Z78 Z79 Z89,X89 X110 X131 X152 X173 X194 X215
surface,Stabilizer,S_149,Z69 Z79 Z80 Z90,X90 X111 X132 X153 X174 X195 X216
surface,Stabilizer,S_150,Z70 Z80 Z81 Z91,X91 X112 X133 X154 X175 X196 X217
surface,Stabilizer,S_151,Z71 Z81 Z82 Z92,X92 X113 X134 X155 X176 X197 X218
surface,Stabilizer,S_152,Z72 Z82 Z83 Z93,X93 X114 X135 X156 X177 X198 X219
surface,Stabilizer,S_153,Z73 Z83 Z94,X10 X31 X52 X73
surface,Stabilizer,S_154,Z84 Z95 Z105,X105 X126 X147 X168 X189 X210
surface,Stabilizer,S_155,Z85 Z95 Z96 Z106,X106 X127 X148 X169 X190 X211
surface,Stabilizer,S_156,Z86 Z96 Z97 Z107,X107 X128 X149 X170 X191 X212
surface,Stabilizer,S_157,Z87 Z97 Z98 Z108,X108 X129 X150 X171 X192 X213
